Filename,Drug Name,Cancer Type,Number of Patients,Treatment_OS,Control_OS,OS_Improvement (%),Treatment_PFS,Control_PFS,PFS_Improvement (%),Other Outcome Measures,Brief Study Summary,Formatted Study Results
page_0.txt,Capecitabine and Fluorouracil (5-FU),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'ORR': 'N/A', 'DOR': 'N/A'}","The FDA updated the product labeling of capecitabine and fluorouracil (5-FU) to include information on dihydropyrimidine dehydrogenase (DPD) deficiency, which can lead to serious and life-threatening toxicities. Healthcare providers are advised to discuss testing options for DPD deficiency with patients and be aware of the risks associated with certain genetic variants. Capecitabine or fluorouracil are not recommended for patients with complete DPD deficiency, and providers should monitor for adverse reactions and consider testing prior to treatment.",N/A
page_1.txt,Datroway,"HR-positive, HER2-negative breast cancer",732,18.6 months,18.3 months,Not statistically significant,6.9 months,4.9 months,41.80%,"{'ORR': {'Datroway': '36%', 'Chemotherapy': '23%'}, 'DOR': {'Datroway': '6.7 months', 'Chemotherapy': '5.7 months'}}","Datroway was approved for HR-positive, HER2-negative breast cancer patients who had received prior endocrine-based therapy and chemotherapy. In a randomized trial, Datroway showed a significant improvement in progression-free survival (41.8%) compared to chemotherapy. Overall survival was similar between the two arms. Datroway also demonstrated a higher objective response rate (36%) and longer duration of response (6.7 months) compared to chemotherapy.","In the TROPION-Breast01 study, datopotamab deruxtecan-dlnk showed improved progression-free survival (PFS) with a median of 6.9 months compared to chemotherapy (4.9 months). Overall survival (OS) was similar between the two arms. The confirmed objective response rate (ORR) was higher with datopotamab deruxtecan-dlnk (36%) compared to chemotherapy (23%), with a longer duration of response (DOR) in the datopotamab deruxtecan-dlnk arm (6.7 months vs. 5.7 months). These results suggest that datopotamab deruxtecan-dlnk may be a more effective treatment option for patients with unresectable or metastatic breast cancer who have progressed on prior therapies."
page_10.txt,zenocutuzumab-zbco (Bizengri),Non-small cell lung cancer (NSCLC) and pancreatic adenocarcinoma,64 adults with NSCLC and 30 adults with pancreatic adenocarcinoma,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR NSCLC': '33% (95% CI: 22%, 46%)', 'DOR NSCLC': 'Median 7.4 months (95% CI: 4.0, 16.6)', 'ORR Pancreatic adenocarcinoma': '40% (95% CI: 23%, 59%)', 'DOR Pancreatic adenocarcinoma': 'Range 3.7 to 16.6 months'}","Zenocutuzumab-zbco (Bizengri) received accelerated approval for advanced NSCLC and pancreatic adenocarcinoma with NRG1 gene fusion. The eNRGy study showed promising ORR and DOR in both cancer types. Common adverse reactions included diarrhea, musculoskeletal pain, and fatigue. The recommended dose is 750 mg every 2 weeks. FDA expedited programs were utilized for this approval.","The eNRGy study evaluated the efficacy of a treatment in patients with NRG1 fusion-positive NSCLC and pancreatic adenocarcinoma. In NSCLC, the overall response rate (ORR) was 33% with a median duration of response (DOR) of 7.4 months. In pancreatic adenocarcinoma, the ORR was 40% with a DOR range of 3.7 to 16.6 months. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary. The study showed promising response outcomes in both types of cancer, indicating potential benefit for patients with NRG1 fusion-positive tumors."
page_100.txt,Dabrafenib (Tafinlar) with trametinib (Mekinist),Low-grade glioma (LGG) with a BRAF V600E mutation,110,Not statistically significant at interim analysis,Not provided,Not provided,20.1 months,7.4 months,63.51%,"{'ORR': 'D+T: 46.6%, C+V: 10.8%', 'DOR': 'D+T: 23.7 months, C+V: Not estimable'}","The FDA approved dabrafenib with trametinib for pediatric patients with LGG with a BRAF V600E mutation. In a trial, D+T showed a significantly higher ORR and longer PFS compared to C+V. Safety profile included common adverse reactions like pyrexia and rash. The OS results at interim analysis did not reach statistical significance.","In Study CDRB436G2201, patients with low-grade gliomas (LGG) were randomized to receive dabrafenib plus trametinib (D+T) or carboplatin plus vincristine (C+V). The D+T arm showed a higher overall response rate (ORR) of 46.6% compared to 10.8% in the C+V arm. The duration of response (DOR) was 23.7 months for D+T and not estimable for C+V. Progression-free survival (PFS) was longer in the D+T arm at 20.1 months compared to 7.4 months in the C+V arm. Overall survival (OS) results did not reach statistical significance at the interim analysis. The study demonstrated superior efficacy outcomes with D+T in terms of ORR, DOR, and PFS in patients with LGG requiring first systemic therapy."
page_101.txt,Abemaciclib (Verzenio),"HR-positive, HER2-negative, node-positive, early breast cancer",5120 in cohort 1,Data remains immature,Data remains immature,Data remains immature,Data not provided,Data not provided,Data not provided,"{'IDFS': {'HR': 0.653, 'IDFS at 48 months': {'Abemaciclib + endocrine therapy': '85.5%', 'Endocrine therapy alone': '78.6%'}}, 'Adverse Reactions': ['Diarrhea', 'Infections', 'Neutropenia', 'Fatigue', 'Leukopenia', 'Nausea', 'Anemia', 'Headache']}","Abemaciclib in combination with endocrine therapy showed a statistically significant improvement in invasive disease-free survival in patients with high-risk early breast cancer. Overall survival data is still immature, and more deaths were observed in cohort 2 with abemaciclib. Common adverse reactions included diarrhea, infections, neutropenia, and fatigue.","The monarchE study evaluated the efficacy of abemaciclib in combination with standard endocrine therapy in high-risk early breast cancer patients. The study showed a statistically significant improvement in invasive disease-free survival (IDFS) in the intent-to-treat population, primarily driven by patients in cohort 1. The IDFS at 48 months was 85.5% with abemaciclib plus standard endocrine therapy compared to 78.6% with standard endocrine therapy alone. Overall survival data is still immature, but in cohort 2, more deaths were observed with the combination therapy. As a result, the indication for abemaciclib was restricted to cohort 1. Further analysis is needed to assess overall survival outcomes."
page_102.txt,dostarlimab-gxly (Jemperli),mismatch repair deficient (dMMR) recurrent or advanced endometrial cancer,141,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '45.4%', 'Duration of Response (DOR)': 'Median DOR not reached, 85.9% with durations ≥12 months, 54.7% with durations ≥24 months'}","Dostarlimab-gxly was approved for adult patients with dMMR recurrent or advanced endometrial cancer who had progressed on or after a platinum-containing regimen. The major efficacy outcomes included an overall response rate of 45.4% with a median duration of response not reached. Common adverse reactions included fatigue, anemia, rash, nausea, and diarrhea.","In the GARNET study, which evaluated the efficacy of a treatment for dMMR recurrent or advanced endometrial cancer, the overall response rate (ORR) was 45.4%, with a complete response rate of 15.6% and a partial response rate of 29.8%. The median duration of response (DOR) was not reached, with 85.9% of patients having durations of 12 months or longer and 54.7% having durations of 24 months or longer. The study showed promising results in terms of response outcomes. Further data on Overall Survival (OS) and Progression-Free Survival (PFS) were not provided in the summary."
page_103.txt,sacituzumab govitecan-hziy (Trodelvy),"HR-positive, HER2-negative breast cancer",543,14.4 months,11.2 months,28.60%,5.5 months,4 months,37.50%,"{'Adverse Events': {'Common Events': ['decreased leukocyte count', 'decreased neutrophil count', 'decreased hemoglobin', 'decreased lymphocyte count', 'diarrhea', 'fatigue', 'nausea', 'alopecia', 'increased glucose', 'constipation', 'decreased albumin']}}","The FDA approved sacituzumab govitecan-hziy for HR-positive, HER2-negative breast cancer patients who have received prior therapies. In a study of 543 patients, sacituzumab govitecan-hziy showed a 28.6% improvement in overall survival (14.4 vs. 11.2 months) and a 37.5% improvement in progression-free survival (5.5 vs. 4 months) compared to single-agent chemotherapy.","In the TROPiCS-02 study, patients with HR-positive, HER2-negative breast cancer who had disease progression after prior treatments were randomized to receive sacituzumab govitecan-hziy or single agent chemotherapy. The study showed that sacituzumab govitecan-hziy resulted in a longer median progression-free survival (5.5 months vs. 4 months) and overall survival (14.4 months vs. 11.2 months) compared to single agent chemotherapy. The hazard ratios for PFS and OS were 0.661 and 0.789, respectively, indicating a significant benefit with sacituzumab govitecan-hziy. Response outcomes were not specifically mentioned in the summary provided."
page_104.txt,Elacestrant (Orserdu),"ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer",478,Not provided,Not provided,Not provided,"3.8 months (95% CI: 2.2, 7.3)","1.9 months (95% CI: 1.9, 2.1)","Hazard Ratio of 0.55 (95% CI: 0.39, 0.77), 2-sided p-value=0.0005","{'Adverse Events': ['Musculoskeletal pain', 'Nausea', 'Increased cholesterol', 'Increased AST', 'Increased triglycerides', 'Fatigue', 'Decreased hemoglobin', 'Vomiting', 'Increased ALT', 'Decreased sodium', 'Increased creatinine', 'Decreased appetite', 'Diarrhea', 'Headache', 'Constipation', 'Abdominal pain', 'Hot flush', 'Dyspepsia']}","Elacestrant was approved for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer. In a trial with 478 patients, elacestrant showed a significant improvement in progression-free survival compared to standard therapy, particularly in patients with ESR1 mutations. Common adverse events included musculoskeletal pain, nausea, and increased cholesterol.","In the EMERALD study, elacestrant showed a significant improvement in progression-free survival (PFS) compared to fulvestrant or aromatase inhibitors in postmenopausal women and men with ER-positive, HER2-negative advanced or metastatic breast cancer, especially in patients with ESR1 mutations. In patients with ESR1 mutations, the median PFS was 3.8 months with elacestrant compared to 1.9 months with the standard therapy, with a hazard ratio (HR) of 0.55. However, in patients without ESR1 mutations, the difference in PFS was not statistically significant. Overall survival (OS) data and response outcomes were not provided in the summary."
page_105.txt,Pirtobrutinib (Jaypirca),Mantle Cell Lymphoma (MCL),120,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '50%', 'Duration of Response (DOR)': 'Median 8.3 months, DOR rate at 6 months 65.3%'}","Pirtobrutinib (Jaypirca) received accelerated approval for relapsed or refractory MCL after prior BTK inhibitor therapy. In a trial of 120 patients, it demonstrated a 50% overall response rate with a complete response rate of 13%. The median duration of response was 8.3 months. Common adverse reactions included fatigue, musculoskeletal pain, and diarrhea. The recommended dosage is 200 mg orally once daily.","In the BRUIN study of pirtobrutinib monotherapy for MCL patients previously treated with a BTK inhibitor, the overall response rate (ORR) was 50% with a complete response rate of 13%. The median duration of response (DOR) was 8.3 months, with a DOR rate of 65.3% at 6 months. The study included 120 patients with a median of 3 prior lines of therapy, mainly with ibrutinib. Pirtobrutinib was well-tolerated and showed promising efficacy in this heavily pretreated population."
page_106.txt,Pembrolizumab (Keytruda),Non-small cell lung cancer (NSCLC),1177,58.7 months,34.9 months,40%,Not specified,Not specified,Not specified,"{'ORR': 'Not specified', 'DOR': 'Not specified'}","Pembrolizumab was approved for adjuvant treatment in NSCLC following resection and platinum-based chemotherapy. The trial demonstrated a 40% improvement in disease-free survival with pembrolizumab compared to placebo. Adverse reactions were generally similar to those seen with pembrolizumab as a single agent, with notable exceptions. The recommended dose is 200 mg every 3 weeks or 400 mg every 6 weeks for up to 12 months.","Overall Survival (OS) data was not provided in the study results. Progression-Free Survival (PFS) was not the primary endpoint, but the trial demonstrated a statistically significant improvement in Disease-Free Survival (DFS) in the overall population. In patients who received adjuvant chemotherapy, the median DFS was 58.7 months in the pembrolizumab arm and 34.9 months in the placebo arm, with a hazard ratio of 0.73. Response outcomes such as Objective Response Rate (ORR), Duration of Response (DOR), Complete Response (CR), and Partial Response (PR) were not mentioned in the study summary. The study focused on DFS as the major efficacy outcome measure and showed a benefit in patients who received adjuvant chemotherapy."
page_107.txt,Zanubrutinib,Chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),"479 in treatment-naïve CLL/SLL cohort, 110 in previously untreated CLL/SLL with 17p deletion, 652 in relapsed or refractory CLL/SLL cohort",Not provided,Not provided,Not provided,"Not reached (95% CI: NE, NE)","33.7 months (95% CI: 28.1, NE)","HR= 0.42, 95% CI: 0.28, 0.63; p=<0.0001","{'Treatment-naïve CLL/SLL cohort': {'ORR': '88% (95% CI: 81, 94)', 'DOR': 'Not reached after a median follow-up of 25.1 months'}, 'Relapsed or refractory CLL/SLL cohort': {'ORR': '80% (95% CI: 76, 85)', 'DOR': 'Not reached after a median follow-up of 14.1 months'}}","Zanubrutinib showed significant improvement in progression-free survival (PFS) compared to bendamustine plus rituximab (BR) in treatment-naïve CLL/SLL patients. It also demonstrated high overall response rates (ORR) and durable responses in previously untreated and relapsed or refractory CLL/SLL patients. Common adverse reactions included neutrophil count decreased, upper respiratory tract infection, and platelet count decreased. The recommended dosage is 160 mg taken orally twice daily or 320 mg taken orally once daily.","In the SEQUOIA study for treatment-naïve CLL/SLL patients, zanubrutinib showed significantly longer progression-free survival (PFS) compared to bendamustine plus rituximab (BR). In a separate cohort with 17p deletion, zanubrutinib demonstrated a high overall response rate (ORR) of 88% with a prolonged duration of response (DOR). In the ALPINE study for relapsed or refractory CLL/SLL patients, zanubrutinib had a higher ORR compared to ibrutinib, with both arms showing a prolonged DOR. Zanubrutinib shows promising efficacy in both treatment-naïve and relapsed/refractory CLL/SLL patients, with favorable PFS, ORR, and DOR outcomes."
page_108.txt,Tukysa,HER2-positive unresectable or metastatic colorectal cancer,84,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '38%', 'Duration of Response (DOR)': '12.4 months'}","The FDA granted accelerated approval to Tukysa in combination with trastuzumab for HER2-positive unresectable or metastatic colorectal cancer. The efficacy was evaluated in 84 patients showing an overall response rate of 38% and a median duration of response of 12.4 months. Common adverse events included diarrhea, fatigue, rash, and nausea.","In the MOUNTAINEER study, 84 patients with HER2-positive, RAS wild-type colorectal cancer received tucatinib and trastuzumab. The overall response rate (ORR) was 38%, with a median duration of response (DOR) of 12.4 months. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary. The study excluded patients who had received prior anti-HER2 therapy and included those with dMMR or MSI-H tumors who had also received anti-PD-1 therapy. The combination of tucatinib and trastuzumab showed promising efficacy in this patient population, with a notable ORR and DOR."
